"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51","NA52","NA53","NA54","NA55","NA56","NA57","NA58","NA59","NA60","NA61"
"176","CROOSS FOX","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"177","MEGANE","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"178","FUSION","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"179","CITY","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"180","CX3","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"181","RAV 4","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"182","SPIRIT","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"183","FIGO","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"184","GMC SONOMA","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"185","PACIFICA","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"186","CHEVROLET HHR","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"187","ESTAQUITAS","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"188","PATHFINDER","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"189","TUNDRA","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"190","STEPWAY","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"191","EDGE","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"192","CALIBER","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"193","FLUENCE","1","0.9","0","NaN","0","NaN","1","0.9","0","NaN","0","NaN","0","0","1","1.4","0","NaN","1","3","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","1","3.4","0","0","1","5.3","0","0","0","0","0","0","0","0","0","0","1","2.1","0","0","0","0","0","0","0","NaN"
"194","TRAX","1","0.9","0","NaN","0","NaN","1","0.9","0","NaN","0","NaN","1","2.7","0","0","0","NaN","0","0","0","0","0","0","0","0","1","20","0","NaN","0","0","0","0","0","0","1","3.4","0","0","1","6.2","0","0","0","0","0","0","0","0","1","2.1","0","0","0","0","0","0","0","NaN"
"195","SPORTVAN","1","0.9","0","NaN","0","NaN","1","0.9","0","NaN","0","NaN","1","2.7","0","0","0","NaN","0","0","1","3.8","0","0","0","0","0","0","0","NaN","0","0","0","0","1","3.4","0","0","0","0","0","0","0","0","0","0","0","0","1","5.6","1","2.1","0","0","0","0","0","0","0","NaN"
"196","CORSAR","1","0.9","0","NaN","0","NaN","1","0.9","0","NaN","0","NaN","1","2.7","0","0","0","NaN","0","0","0","0","0","0","1","5.9","0","0","0","NaN","0","0","1","4.5","0","0","0","0","0","0","0","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","1","2.9","0","NaN"
"197","FRONTIER","1","0.9","0","NaN","0","NaN","1","0.9","0","NaN","0","NaN","0","0","1","1.4","0","NaN","1","3","0","0","0","0","0","0","0","0","0","NaN","1","3.8","0","0","0","0","0","0","0","0","0","0","1","6.7","0","0","0","0","0","0","0","0","0","0","0","0","1","2.9","0","NaN"
"198","ACCENT","1","0.9","0","NaN","0","NaN","1","0.9","0","NaN","0","NaN","0","0","1","1.4","0","NaN","0","0","1","3.8","0","0","0","0","0","0","0","NaN","1","3.8","0","0","0","0","0","0","0","0","1","6.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2.9","0","NaN"
"199","TOWN AND COUNTRY","1","0.9","0","NaN","0","NaN","1","0.9","0","NaN","0","NaN","0","0","1","1.4","0","NaN","0","0","1","3.8","0","0","0","0","0","0","0","NaN","0","0","1","4.5","0","0","0","0","1","5.3","0","0","0","0","0","0","0","0","0","0","0","0","1","12.5","0","0","0","0","0","NaN"
"200","Total","106","100","0","NaN","0","NaN","106","100","0","NaN","0","NaN","37","100","69","100","0","NaN","33","100","26","100","25","100","17","100","5","100","0","NaN","26","100","22","100","29","100","29","100","19","100","16","100","15","100","20","100","18","100","18","100","47","100","8","100","17","100","34","100","0","NaN"
"201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"202","P15AñoAmbosAutos","Total_Total_f","Total_Total_pct","P10_Automóvil_f","P10_Automóvil_pct","P10_Moto / Motocicleta_f","P10_Moto / Motocicleta_pct","P10_Ambas_f","P10_Ambas_pct","P10_Otro (Camión de carga)_f","P10_Otro (Camión de carga)_pct","P10_No cuenta con ninguno_f","P10_No cuenta con ninguno_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHijos_Casado con hijos_f","EdocivilHijos_Casado con hijos_pct","EdocivilHijos_Casado sin hijos_f","EdocivilHijos_Casado sin hijos_pct","EdocivilHijos_Soltero con Hijos_f","EdocivilHijos_Soltero con Hijos_pct","EdocivilHijos_Soltero sin HIjos_f","EdocivilHijos_Soltero sin HIjos_pct","EdocivilHijos_No contestó_f","EdocivilHijos_No contestó_pct"
"203","Del aÃ±o 2004 o mÃ¡s antigÃ¼o","40","37.7","0","NaN","0","NaN","40","37.7","0","NaN","0","NaN","13","35.1","27","39.1","0","NaN","6","18.2","6","23.1","2.54950975679639","10.2","2","11.8","1","20","0","NaN","2.40039679259592","9.2","9","40.9","7","24.1","13","44.8","7","36.8","1.91485421551268","12","1.35400640077266","9","16","80","1","5.6","2","11.1","20","42.6","1.4638501094228","18.3","1.88982236504614","11.1","11","32.4","0","NaN"
"204","Del 2005 al 2009","29","27.4","0","NaN","0","NaN","29","27.4","0","NaN","0","NaN","12","32.4","17","24.6","0","NaN","10","30.3","7","26.9","2.04124145231932","8.2","1.91485421551268","11.3","1","20","0","NaN","1.8516401995451","7.1","6","27.3","11","37.9","7","24.1","3","15.8","1.78885438199983","11.2","1.87082869338697","12.5","3","15","2.12824147236771","11.8","5","27.8","13","27.7","1.4638501094228","18.3","1.96396101212393","11.6","7","20.6","0","NaN"
"205","AÃ±o 2010 al 2014","38","35.8","0","NaN","0","NaN","38","35.8","0","NaN","0","NaN","12","32.4","26","37.7","0","NaN","21","63.6","11","42.3","2.17944947177034","8.7","0","0","0","0","0","NaN","2.01186954040739","7.7","10","45.5","14","48.3","9","31","9","47.4","1","6.2","1.73205080756888","11.5","4","20","2.12824147236771","11.8","13","72.2","20","42.6","1.30930734141595","16.4","1.60356745147455","9.4","13","38.2","0","NaN"
"206","Del año 2015 o más nuevo","5","4.7","0","NaN","0","NaN","5","4.7","0","NaN","0","NaN","3","8.1","2","2.9","0","NaN","2","6.1","1","3.8","1","4","1","5.9","0","0","0","NaN","1.38013111868471","5.3","1","4.5","1","3.4","1","3.4","0","0","0","0","0","0","0","0","1.62697843363992","9","2","11.1","2","4.3","0","0","1","5.9","2","5.9","0","NaN"
"207","Total","106","100","0","NaN","0","NaN","106","100","0","NaN","0","NaN","37","100","69","100","0","NaN","33","100","26","100","25","100","17","100","5","100","0","NaN","26","100","22","100","29","100","29","100","19","100","16","100","15","100","20","100","18","100","18","100","47","100","8","100","17","100","34","100","0","NaN"
"208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"209","P15AntAmbosAuto","Total_Total_f","Total_Total_pct","P10_Automóvil_f","P10_Automóvil_pct","P10_Moto / Motocicleta_f","P10_Moto / Motocicleta_pct","P10_Ambas_f","P10_Ambas_pct","P10_Otro (Camión de carga)_f","P10_Otro (Camión de carga)_pct","P10_No cuenta con ninguno_f","P10_No cuenta con ninguno_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHijos_Casado con hijos_f","EdocivilHijos_Casado con hijos_pct","EdocivilHijos_Casado sin hijos_f","EdocivilHijos_Casado sin hijos_pct","EdocivilHijos_Soltero con Hijos_f","EdocivilHijos_Soltero con Hijos_pct","EdocivilHijos_Soltero sin HIjos_f","EdocivilHijos_Soltero sin HIjos_pct","EdocivilHijos_No contestó_f","EdocivilHijos_No contestó_pct"
"210","0 a 11 meses","11","10.4","0","NaN","0","NaN","11","10.4","0","NaN","0","NaN","4","10.8","7","10.1","0","NaN","5","15.2","3","11.5","1.38443731048635","5.5","0","0","1","20","0","NaN","1.87616630392937","7.2","3","13.6","2","6.9","2","6.9","2","10.5","1","6.2","1","6.7","1","5","1.62697843363992","9","3","16.7","4","8.5","0","0","1.36930639376291","8.1","5","14.7","0","NaN"
"211","1 a 3 años","54","50.9","0","NaN","0","NaN","54","50.9","0","NaN","0","NaN","18","48.6","36","52.2","0","NaN","17","51.5","12","46.2","2.53311402559511","10.1","2.12132034355964","12.5","1.22474487139159","24.5","0","NaN","2.6","10","12","54.5","16","55.2","12","41.4","13","68.4","2.04939015319192","12.8","1.60356745147455","10.7","9","45","2.16930457818656","12.1","11","61.1","28","59.6","1.51185789203691","18.9","1.93649167310371","11.4","16","47.1","0","NaN"
"212","4 a 6 años","44","41.5","0","NaN","0","NaN","44","41.5","0","NaN","0","NaN","16","43.2","28","40.6","0","NaN","16","48.5","11","42.3","2.5","10","2.03100960115899","11.9","1","20","0","NaN","2.4","9.2","8","36.4","15","51.7","13","44.8","5","26.3","1.91485421551268","12","1.88982236504614","12.6","10","50","2.12824147236771","11.8","7","38.9","19","40.4","1.4638501094228","18.3","2.09165006633519","12.3","15","44.1","0","NaN"
"213","7 a 9 años","6","5.7","0","NaN","0","NaN","6","5.7","0","NaN","0","NaN","1","2.7","5","7.2","0","NaN","1","3","2","7.7","1.38443731048635","5.5","1","5.9","0","0","0","NaN","0.999999999999999","3.8","2","9.1","1","3.4","2","6.9","1","5.3","0","0","1","6.7","4","20","0","0","0","0","3","6.4","1","12.5","1","5.9","1","2.9","0","NaN"
"214","10 a 12 años","3","2.8","0","NaN","0","NaN","3","2.8","0","NaN","0","NaN","2","5.4","1","1.4","0","NaN","1","3","1","3.8","0","0","1","5.9","0","0","0","NaN","0","0","1","4.5","1","3.4","1","3.4","0","0","1","6.2","0","0","0","0","0","0","2","11.1","1","2.1","0","0","1","5.9","1","2.9","0","NaN"
"215","13 a 15 años","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"216","16 a 18 años","1","0.9","0","NaN","0","NaN","1","0.9","0","NaN","0","NaN","0","0","1","1.4","0","NaN","0","0","1","3.8","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","1","3.4","1","5.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5.9","0","0","0","NaN"
"217","19 a 21 años","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"218","22 a 24 años","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"219","25 a 27 años","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"220","28 a 30 años","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"221","Más de 30 años","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"222","No sabe","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"223","Total","106","100","0","NaN","0","NaN","106","100","0","NaN","0","NaN","37","100","69","100","0","NaN","33","100","26","100","25","100","17","100","5","100","0","NaN","26","100","22","100","29","100","29","100","19","100","16","100","15","100","20","100","18","100","18","100","47","100","8","100","17","100","34","100","0","NaN"
"224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"225","P16PrestarAmbosAutos","Total_Total_f","Total_Total_pct","P10_Automóvil_f","P10_Automóvil_pct","P10_Moto / Motocicleta_f","P10_Moto / Motocicleta_pct","P10_Ambas_f","P10_Ambas_pct","P10_Otro (Camión de carga)_f","P10_Otro (Camión de carga)_pct","P10_No cuenta con ninguno_f","P10_No cuenta con ninguno_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHijos_Casado con hijos_f","EdocivilHijos_Casado con hijos_pct","EdocivilHijos_Casado sin hijos_f","EdocivilHijos_Casado sin hijos_pct","EdocivilHijos_Soltero con Hijos_f","EdocivilHijos_Soltero con Hijos_pct","EdocivilHijos_Soltero sin HIjos_f","EdocivilHijos_Soltero sin HIjos_pct","EdocivilHijos_No contestó_f","EdocivilHijos_No contestó_pct"
"226","Sí","64","60.4","0","NaN","0","NaN","64","60.4","0","NaN","0","NaN","20","54.1","44","63.8","0","NaN","16","48.5","17","65.4","17","68","10","58.8","4","80","0","NaN","18","69.2","10","45.5","19","65.5","17","58.6","11","57.9","13","81.2","5","33.3","17","85","7","38.9","11","61.1","34","72.3","6","75","7","41.2","17","50","0","NaN"
"227","No","42","39.6","0","NaN","0","NaN","42","39.6","0","NaN","0","NaN","17","45.9","25","36.2","0","NaN","17","51.5","9","34.6","8","32","7","41.2","1","20","0","NaN","8","30.8","12","54.5","10","34.5","12","41.4","8","42.1","3","18.8","10","66.7","3","15","11","61.1","7","38.9","13","27.7","2","25","10","58.8","17","50","0","NaN"
"228","Total","106","100","0","NaN","0","NaN","106","100","0","NaN","0","NaN","37","100","69","100","0","NaN","33","100","26","100","25","100","17","100","5","100","0","NaN","26","100","22","100","29","100","29","100","19","100","16","100","15","100","20","100","18","100","18","100","47","100","8","100","17","100","34","100","0","NaN"
"229",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"230","P16PrestarQuienAmbosAutos","Total_Total_f","Total_Total_pct","P10_Automóvil_f","P10_Automóvil_pct","P10_Moto / Motocicleta_f","P10_Moto / Motocicleta_pct","P10_Ambas_f","P10_Ambas_pct","P10_Otro (Camión de carga)_f","P10_Otro (Camión de carga)_pct","P10_No cuenta con ninguno_f","P10_No cuenta con ninguno_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHijos_Casado con hijos_f","EdocivilHijos_Casado con hijos_pct","EdocivilHijos_Casado sin hijos_f","EdocivilHijos_Casado sin hijos_pct","EdocivilHijos_Soltero con Hijos_f","EdocivilHijos_Soltero con Hijos_pct","EdocivilHijos_Soltero sin HIjos_f","EdocivilHijos_Soltero sin HIjos_pct","EdocivilHijos_No contestó_f","EdocivilHijos_No contestó_pct"
"231","P16_B_AMBOS_Mi_Esposo___Esposa","39","60.9","0","NaN","0","NaN","39","60.9","0","NaN","0","NaN","9","45","30","68.2","0","NaN","13","81.2","9","52.9","8","47.1","6","60","3","75","0","NaN","5","27.8","7","70","16","84.2","11","64.7","6","54.5","10","76.9","1","20","9","52.9","4","57.1","9","81.8","33","97.1","5","83.3","1","14.3","0","0","0","NaN"
"232","P16_B_AMBOS_Mi_Pap____Mam","19","29.7","0","NaN","0","NaN","19","29.7","0","NaN","0","NaN","7","35","12","27.3","0","NaN","2","12.5","5","29.4","6","35.3","4","40","2","50","0","NaN","11","61.1","3","30","1","5.3","4","23.5","3","27.3","4","30.8","4","80","5","29.4","3","42.9","0","0","4","11.8","0","0","0","0","15","88.2","0","NaN"
"233","P16_B_AMBOS_Hijos___Hijas","6","9.4","0","NaN","0","NaN","6","9.4","0","NaN","0","NaN","2","10","4","9.1","0","NaN","1","6.2","1","5.9","4","23.5","0","0","0","0","0","NaN","0","0","0","0","1","5.3","5","29.4","1","9.1","1","7.7","0","0","4","23.5","0","0","0","0","2","5.9","0","0","4","57.1","0","0","0","NaN"
"234","P16_B_AMBOS_Otro_familiar","8","12.5","0","NaN","0","NaN","8","12.5","0","NaN","0","NaN","3","15","5","11.4","0","NaN","2","12.5","3","17.6","2","11.8","1","10","0","0","0","NaN","4","22.2","0","0","3","15.8","1","5.9","2","18.2","0","0","1","20","3","17.6","0","0","2","18.2","0","0","1","16.7","2","28.6","5","29.4","0","NaN"
"235","P16_B_AMBOS_No_sabe__no_contest","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"236","Total","64","100","0","NaN","0","NaN","64","100","0","NaN","0","NaN","20","100","44","100","0","NaN","16","100","17","100","17","100","10","100","4","100","0","NaN","18","100","10","100","19","100","17","100","11","100","13","100","5","100","17","100","7","100","11","100","34","100","6","100","7","100","17","100","0","NaN"
"237",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"238","P16PrestarQuienAmbosAutosf1","Total_Total_f","Total_Total_pct","P10_Automóvil_f","P10_Automóvil_pct","P10_Moto / Motocicleta_f","P10_Moto / Motocicleta_pct","P10_Ambas_f","P10_Ambas_pct","P10_Otro (Camión de carga)_f","P10_Otro (Camión de carga)_pct","P10_No cuenta con ninguno_f","P10_No cuenta con ninguno_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHijos_Casado con hijos_f","EdocivilHijos_Casado con hijos_pct","EdocivilHijos_Casado sin hijos_f","EdocivilHijos_Casado sin hijos_pct","EdocivilHijos_Soltero con Hijos_f","EdocivilHijos_Soltero con Hijos_pct","EdocivilHijos_Soltero sin HIjos_f","EdocivilHijos_Soltero sin HIjos_pct","EdocivilHijos_No contestó_f","EdocivilHijos_No contestó_pct"
"239","Diario","13","33.3","0","NaN","0","NaN","13","33.3","0","NaN","0","NaN","1","11.1","12","40","0","NaN","5","38.5","4","44.4","2","25","1","16.7","1","33.3","0","NaN","2","40","1","14.3","8","50","2","18.2","0","0","3","30","0","0","5","55.6","0","0","5","55.6","12","36.4","1","20","0","0","0","NaN","0","NaN"
"240","Todos los días entre semana","7","17.9","0","NaN","0","NaN","7","17.9","0","NaN","0","NaN","2","22.2","5","16.7","0","NaN","1","7.7","0","0","4","50","1","16.7","1","33.3","0","NaN","1","20","2","28.6","1","6.2","3","27.3","0","0","4","40","0","0","1","11.1","0","0","2","22.2","6","18.2","1","20","0","0","0","NaN","0","NaN"
