"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51","NA52","NA53","NA54","NA55","NA56","NA57","NA58","NA59","NA60","NA61"
"21","Total","1052","100","817","100","129","100","106","100","0","NaN","0","NaN","424","100","628","100","0","NaN","346","100","317","100","234","100","115","100","40","100","0","NaN","176","100","365","100","271","100","240","100","222","100","159","100","155","100","163","100","171","100","182","100","458","100","84","100","165","100","333","100","12","100"
"22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23","Plaza","Total_Total_f","Total_Total_pct","P10_Automóvil_f","P10_Automóvil_pct","P10_Moto / Motocicleta_f","P10_Moto / Motocicleta_pct","P10_Ambas_f","P10_Ambas_pct","P10_Otro (Camión de carga)_f","P10_Otro (Camión de carga)_pct","P10_No cuenta con ninguno_f","P10_No cuenta con ninguno_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHijos_Casado con hijos_f","EdocivilHijos_Casado con hijos_pct","EdocivilHijos_Casado sin hijos_f","EdocivilHijos_Casado sin hijos_pct","EdocivilHijos_Soltero con Hijos_f","EdocivilHijos_Soltero con Hijos_pct","EdocivilHijos_Soltero sin HIjos_f","EdocivilHijos_Soltero sin HIjos_pct","EdocivilHijos_No contestó_f","EdocivilHijos_No contestó_pct"
"24","Ciudad de México","222","21.1","165","20.2","38","29.5","19","17.9","0","NaN","0","NaN","51","12","171","27.2","0","NaN","47","13.6","77","24.3","55","23.5","39","33.9","4","10","0","NaN","31","17.6","81","22.2","63","23.2","47","19.6","222","100","0","0","0","0","0","0","0","0","0","0","93","20.3","21","25","25","15.2","80","24","3","25"
"25","Tijuana","159","15.1","137","16.8","6","4.7","16","15.1","0","NaN","0","NaN","79","18.6","80","12.7","0","NaN","45","13","40","12.6","39","16.7","22","19.1","13","32.5","0","NaN","36","20.5","44","12.1","33","12.2","46","19.2","0","0","159","100","0","0","0","0","0","0","0","0","73","15.9","10","11.9","32","19.4","42","12.6","2","16.7"
"26","Monterrey","155","14.7","131","16","9","7","15","14.2","0","NaN","0","NaN","44","10.4","111","17.7","0","NaN","81","23.4","56","17.7","17","7.3","1","0.9","0","0","0","NaN","23","13.1","44","12.1","52","19.2","36","15","0","0","0","0","155","100","0","0","0","0","0","0","62","13.5","21","25","9","5.5","62","18.6","1","8.3"
"27","Guadalajara","163","15.5","128","15.7","15","11.6","20","18.9","0","NaN","0","NaN","68","16","95","15.1","0","NaN","31","9","57","18","46","19.7","26","22.6","3","7.5","0","NaN","27","15.3","53","14.5","42","15.5","41","17.1","0","0","0","0","0","0","163","100","0","0","0","0","84","18.3","9","10.7","29","17.6","41","12.3","0","0"
"28","Puebla","171","16.3","131","16","22","17.1","18","17","0","NaN","0","NaN","82","19.3","89","14.2","0","NaN","74","21.4","49","15.5","27","11.5","15","13","6","15","0","NaN","32","18.2","66","18.1","33","12.2","40","16.7","0","0","0","0","0","0","0","0","171","100","0","0","67","14.6","15","17.9","30","18.2","56","16.8","3","25"
"29","Mérida","182","17.3","125","15.3","39","30.2","18","17","0","NaN","0","NaN","100","23.6","82","13.1","0","NaN","68","19.7","38","12","50","21.4","12","10.4","14","35","0","NaN","27","15.3","77","21.1","48","17.7","30","12.5","0","0","0","0","0","0","0","0","0","0","182","100","79","17.2","8","9.5","40","24.2","52","15.6","3","25"
"30","Total","1052","100","817","100","129","100","106","100","0","NaN","0","NaN","424","100","628","100","0","NaN","346","100","317","100","234","100","115","100","40","100","0","NaN","176","100","365","100","271","100","240","100","222","100","159","100","155","100","163","100","171","100","182","100","458","100","84","100","165","100","333","100","12","100"
"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32","P9","Total_Total_f","Total_Total_pct","P10_Automóvil_f","P10_Automóvil_pct","P10_Moto / Motocicleta_f","P10_Moto / Motocicleta_pct","P10_Ambas_f","P10_Ambas_pct","P10_Otro (Camión de carga)_f","P10_Otro (Camión de carga)_pct","P10_No cuenta con ninguno_f","P10_No cuenta con ninguno_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHijos_Casado con hijos_f","EdocivilHijos_Casado con hijos_pct","EdocivilHijos_Casado sin hijos_f","EdocivilHijos_Casado sin hijos_pct","EdocivilHijos_Soltero con Hijos_f","EdocivilHijos_Soltero con Hijos_pct","EdocivilHijos_Soltero sin HIjos_f","EdocivilHijos_Soltero sin HIjos_pct","EdocivilHijos_No contestó_f","EdocivilHijos_No contestó_pct"
"33","Mamá","245","23.3","211","25.8","16","12.4","18","17","0","NaN","0","NaN","240","56.6","5","0.8","0","NaN","81","23.4","73","23","53","22.6","28","24.3","10","25","0","NaN","20","11.4","61","16.7","97","35.8","67","27.9","27","12.2","52","32.7","23","14.8","37","22.7","48","28.1","58","31.9","146","31.9","14","16.7","74","44.8","8","2.4","3","25"
"34","Papá","365","34.7","276","33.8","41","31.8","48","45.3","0","NaN","0","NaN","7","1.7","358","57","0","NaN","123","35.5","109","34.4","79","33.8","40","34.8","14","35","0","NaN","6","3.4","95","26","145","53.5","119","49.6","97","43.7","39","24.5","65","41.9","65","39.9","48","28.1","51","28","279","60.9","45","53.6","34","20.6","7","2.1","0","0"
"35","Hijo","191","18.2","126","15.4","45","34.9","20","18.9","0","NaN","0","NaN","10","2.4","181","28.8","0","NaN","46","13.3","64","20.2","59","25.2","18","15.7","4","10","0","NaN","78","44.3","101","27.7","8","3","4","1.7","58","26.1","23","14.5","31","20","22","13.5","25","14.6","32","17.6","13","2.8","4","4.8","11","6.7","158","47.4","5","41.7"
"36","Hija","123","11.7","99","12.1","11","8.5","13","12.3","0","NaN","0","NaN","122","28.8","1","0.2","0","NaN","51","14.7","33","10.4","17","7.3","18","15.7","4","10","0","NaN","57","32.4","60","16.4","4","1.5","2","0.8","22","9.9","16","10.1","12","7.7","22","13.5","25","14.6","26","14.3","3","0.7","4","4.8","10","6.1","104","31.2","2","16.7"
"37","Abuelo","29","2.8","24","2.9","2","1.6","3","2.8","0","NaN","0","NaN","3","0.7","26","4.1","0","NaN","6","1.7","8","2.5","8","3.4","4","3.5","3","7.5","0","NaN","0","0","0","0","2","0.7","27","11.2","2","0.9","11","6.9","4","2.6","4","2.5","1","0.6","7","3.8","11","2.4","0","0","18","10.9","0","0","0","0"
"38","Abuela","14","1.3","12","1.5","1","0.8","1","0.9","0","NaN","0","NaN","14","3.3","0","0","0","NaN","5","1.4","2","0.6","5","2.1","2","1.7","0","0","0","NaN","0","0","0","0","1","0.4","13","5.4","0","0","3","1.9","0","0","6","3.7","0","0","5","2.7","4","0.9","0","0","10","6.1","0","0","0","0"
"39","Otro","84","8","68","8.3","13","10.1","3","2.8","0","NaN","0","NaN","28","6.6","56","8.9","0","NaN","34","9.8","28","8.8","13","5.6","5","4.3","4","10","0","NaN","15","8.5","48","13.2","14","5.2","7","2.9","16","7.2","14","8.8","20","12.9","7","4.3","24","14","3","1.6","1","0.2","17","20.2","8","4.8","56","16.8","2","16.7"
"40","No sabe/ no contestó","1","0.1","1","0.1","0","0","0","0","0","NaN","0","NaN","0","0","1","0.2","0","NaN","0","0","0","0","0","0","0","0","1","2.5","0","NaN","0","0","0","0","0","0","1","0.4","0","0","1","0.6","0","0","0","0","0","0","0","0","1","0.2","0","0","0","0","0","0","0","0"
"41","Total","1052","100","817","100","129","100","106","100","0","NaN","0","NaN","424","100","628","100","0","NaN","346","100","317","100","234","100","115","100","40","100","0","NaN","176","100","365","100","271","100","240","100","222","100","159","100","155","100","163","100","171","100","182","100","458","100","84","100","165","100","333","100","12","100"
"42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43","P9Estudios","Total_Total_f","Total_Total_pct","P10_Automóvil_f","P10_Automóvil_pct","P10_Moto / Motocicleta_f","P10_Moto / Motocicleta_pct","P10_Ambas_f","P10_Ambas_pct","P10_Otro (Camión de carga)_f","P10_Otro (Camión de carga)_pct","P10_No cuenta con ninguno_f","P10_No cuenta con ninguno_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHijos_Casado con hijos_f","EdocivilHijos_Casado con hijos_pct","EdocivilHijos_Casado sin hijos_f","EdocivilHijos_Casado sin hijos_pct","EdocivilHijos_Soltero con Hijos_f","EdocivilHijos_Soltero con Hijos_pct","EdocivilHijos_Soltero sin HIjos_f","EdocivilHijos_Soltero sin HIjos_pct","EdocivilHijos_No contestó_f","EdocivilHijos_No contestó_pct"
"44","No estudió / Primaria","70","6.7","50","6.1","12","9.3","8","7.5","0","NaN","0","NaN","27","6.4","43","6.8","0","NaN","2","0.6","8","2.5","24","10.3","23","20","13","32.5","0","NaN","7","4","11","3","21","7.7","31","12.9","13","5.9","17","10.7","1","0.6","12","7.4","10","5.8","17","9.3","37","8.1","3","3.6","20","12.1","10","3","0","0"
"45","Secundaria o Carrera Comercial","266","25.3","186","22.8","44","34.1","36","34","0","NaN","0","NaN","114","26.9","152","24.2","0","NaN","21","6.1","56","17.7","114","48.7","57","49.6","18","45","0","NaN","50","28.4","76","20.8","74","27.3","66","27.5","53","23.9","37","23.3","23","14.8","51","31.3","38","22.2","64","35.2","138","30.1","16","19","54","32.7","56","16.8","2","16.7"
