"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51","NA52","NA53","NA54","NA55","NA56","NA57","NA58","NA59","NA60","NA61"
"1","P10","Total_Total_f","Total_Total_pct","P10_Automóvil_f","P10_Automóvil_pct","P10_Moto / Motocicleta_f","P10_Moto / Motocicleta_pct","P10_Ambas_f","P10_Ambas_pct","P10_Otro (Camión de carga)_f","P10_Otro (Camión de carga)_pct","P10_No cuenta con ninguno_f","P10_No cuenta con ninguno_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHijos_Casado con hijos_f","EdocivilHijos_Casado con hijos_pct","EdocivilHijos_Casado sin hijos_f","EdocivilHijos_Casado sin hijos_pct","EdocivilHijos_Soltero con Hijos_f","EdocivilHijos_Soltero con Hijos_pct","EdocivilHijos_Soltero sin HIjos_f","EdocivilHijos_Soltero sin HIjos_pct","EdocivilHijos_No contestó_f","EdocivilHijos_No contestó_pct"
"26","P15AntAutos","Total_Total_f","Total_Total_pct","P10_Automóvil_f","P10_Automóvil_pct","P10_Moto / Motocicleta_f","P10_Moto / Motocicleta_pct","P10_Ambas_f","P10_Ambas_pct","P10_Otro (Camión de carga)_f","P10_Otro (Camión de carga)_pct","P10_No cuenta con ninguno_f","P10_No cuenta con ninguno_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHijos_Casado con hijos_f","EdocivilHijos_Casado con hijos_pct","EdocivilHijos_Casado sin hijos_f","EdocivilHijos_Casado sin hijos_pct","EdocivilHijos_Soltero con Hijos_f","EdocivilHijos_Soltero con Hijos_pct","EdocivilHijos_Soltero sin HIjos_f","EdocivilHijos_Soltero sin HIjos_pct","EdocivilHijos_No contestó_f","EdocivilHijos_No contestó_pct"
"27","0 a 11 meses","95","11.6","95","11.6","0","NaN","0","NaN","0","NaN","0","NaN","38","10.7","57","12.3","0","NaN","36","11.9","26","9.9","24","14.2","8","11.8","1","6.2","0","NaN","31","26.1","29","10.4","22","9.9","13","6.6","22","13.3","14","10.2","12","9.2","19","14.8","13","9.9","15","12","32","8.8","12","18.8","14","10.6","35","14.2","2","16.7"
"28","1 a 3 años","453","55.4","453","55.4","0","NaN","0","NaN","0","NaN","0","NaN","222","62.7","231","49.9","0","NaN","185","61.3","140","53.4","91","53.8","26","38.2","11","68.8","0","NaN","78","65.5","175","62.7","111","50","89","45.2","71","43","91","66.4","60","45.8","65","50.8","90","68.7","76","60.8","192","52.9","32","50","70","53","152","61.8","7","58.3"
"29","4 a 6 años","310","37.9","310","37.9","0","NaN","0","NaN","0","NaN","0","NaN","139","39.3","171","36.9","0","NaN","126","41.7","103","39.3","50","29.6","25","36.8","6","37.5","0","NaN","35","29.4","87","31.2","98","44.1","90","45.7","70","42.4","64","46.7","60","45.8","33","25.8","34","26","49","39.2","155","42.7","21","32.8","42","31.8","87","35.4","5","41.7"
"30","7 a 9 años","51","6.2","51","6.2","0","NaN","0","NaN","0","NaN","0","NaN","20","5.6","31","6.7","0","NaN","13","4.3","15","5.7","14","8.3","8","11.8","1","6.2","0","NaN","3","2.5","14","5","11","5","23","11.7","16","9.7","6","4.4","5","3.8","9","7","3","2.3","12","9.6","28","7.7","3","4.7","9","6.8","11","4.5","0","0"
"31","10 a 12 años","18","2.2","18","2.2","0","NaN","0","NaN","0","NaN","0","NaN","4","1.1","14","3","0","NaN","2","0.7","11","4.2","3","1.8","2","2.9","0","0","0","NaN","1","0.8","5","1.8","4","1.8","8","4.1","5","3","0","0","0","0","9","7","3","2.3","1","0.8","10","2.8","1","1.6","5","3.8","2","0.8","0","0"
"32","13 a 15 años","6","0.7","6","0.7","0","NaN","0","NaN","0","NaN","0","NaN","4","1.1","2","0.4","0","NaN","0","0","2","0.8","2","1.2","2","2.9","0","0","0","NaN","0","0","1","0.4","4","1.8","1","0.5","2","1.2","0","0","1","0.8","2","1.6","0","0","1","0.8","2","0.6","0","0","4","3","0","0","0","0"
"33","16 a 18 años","0","0","0","0","0","NaN","0","NaN","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34","19 a 21 años","1","0.1","1","0.1","0","NaN","0","NaN","0","NaN","0","NaN","1","0.3","0","0","0","NaN","0","0","0","0","1","0.6","0","0","0","0","0","NaN","0","0","0","0","0","0","1","0.5","0","0","0","0","0","0","1","0.8","0","0","0","0","1","0.3","0","0","0","0","0","0","0","0"
"35","22 a 24 años","0","0","0","0","0","NaN","0","NaN","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
